国家/地区,新增确诊,现有确诊,累计确诊,新增死亡,累计死亡,累计治愈,统计时间
捷克,386080,8862,4558202,68,41882,4507458,2022-12-01 10:39:32
日本,138396,4043985,24793166,210,49644,20699537,2022-12-01 10:39:32
法国,91814,778620,37846799,88,158950,36909229,2022-12-01 10:39:32
韩国,67415,952918,27098734,52,30506,26115310,2022-12-01 10:39:32
德国,43768,521394,36463485,134,157791,35784300,2022-12-01 10:39:32
巴西,38510,378995,35304715,116,689853,34235867,2022-12-01 10:39:32
美国,24783,1396659,100608645,170,1105528,98106458,2022-12-01 10:39:32
瑞士,19019,85042,4317035,0,14318,4217675,2022-12-01 10:39:32
奥地利,11058,44849,5561633,21,21210,5495574,2022-12-01 10:39:32
秘鲁,8863,57200,4238042,8,217394,3963448,2022-12-01 10:39:32
巴拿马,6435,7754,1002161,7,8526,985881,2022-12-01 10:39:32
俄罗斯,6088,201116,21590828,59,392002,20997710,2022-12-01 10:39:32
印度尼西亚,5609,59276,6664844,41,159830,6445738,2022-12-01 10:39:32
澳大利亚,4378,93370,10655596,5,16124,10546102,2022-12-01 10:39:32
匈牙利,4259,13707,2166352,42,48287,2104358,2022-12-01 10:39:32
荷兰,2700,27404,8541997,2,22909,8491684,2022-12-01 10:39:32
哥斯达黎加,2538,276386,1146135,7,9038,860711,2022-12-01 10:39:32
智利,2329,9820,4920010,10,62422,4847768,2022-12-01 10:39:32
新加坡,1838,74028,2167897,1,1703,2092166,2022-12-01 10:39:32
马来西亚,1672,24960,4992168,10,36684,4930524,2022-12-01 10:39:32
斯洛文尼亚,1632,14643,1258446,0,6932,1236871,2022-12-01 10:39:32
危地马拉,1066,3977,1155277,1,19950,1131350,2022-12-01 10:39:32
立陶宛,846,5060,1276076,2,9434,1261582,2022-12-01 10:39:32
瓜德罗普,813,194673,197918,2,995,2250,2022-12-01 10:39:32
菲律宾,790,18043,4036277,21,64641,3953593,2022-12-01 10:39:32
塞舌尔,688,291,50068,0,171,49606,2022-12-01 10:39:32
塞尔维亚,632,10630,2423385,8,17387,2395368,2022-12-01 10:39:32
波兰,585,898496,6352755,6,118319,5335940,2022-12-01 10:39:32
丹麦,585,4927,3147600,4,7532,3135141,2022-12-01 10:39:32
多米尼加,547,1931,650381,0,4384,644066,2022-12-01 10:39:32
蒙古国,533,4464,992767,0,2179,986124,2022-12-01 10:39:32
越南,485,864245,11515908,3,43175,10608488,2022-12-01 10:39:32
南非,465,26956,4041890,0,102428,3912506,2022-12-01 10:39:32
克罗地亚,455,2045,1253761,4,17316,1234400,2022-12-01 10:39:32
卡塔尔,430,1543,478848,0,685,476620,2022-12-01 10:39:32
挪威,213,2336,1469061,0,4325,1462400,2022-12-01 10:39:32
印度,209,5887,44673379,5,530620,44136872,2022-12-01 10:39:32
玻利维亚,209,10970,1111086,0,22247,1077869,2022-12-01 10:39:32
马达加斯加,205,397,67259,1,1412,65450,2022-12-01 10:39:32
摩洛哥,199,1283,1268823,0,16284,1251256,2022-12-01 10:39:32
坦桑尼亚,185,39628,40656,0,845,183,2022-12-01 10:39:32
保加利亚,163,4486,1287256,6,38039,1244731,2022-12-01 10:39:32
阿拉伯联合酋长国,154,18059,1044343,0,2348,1023936,2022-12-01 10:39:32
哈萨克斯坦,144,2706,1396755,0,13693,1380356,2022-12-01 10:39:32
特立尼达和多巴哥,140,198,185377,1,4267,180912,2022-12-01 10:39:32
巴林,137,1023,696332,0,1536,693773,2022-12-01 10:39:32
海峡群岛,134,455,95726,0,207,95064,2022-12-01 10:39:32
乌兹别克斯坦,131,3397,246520,0,1637,241486,2022-12-01 10:39:32
斯洛伐克,126,1276,1855953,1,20733,1833944,2022-12-01 10:39:32
巴布亚新几内亚,98,1496,46146,0,668,43982,2022-12-01 10:39:32
突尼斯,81,134174,1147072,0,29268,983630,2022-12-01 10:39:32
阿富汗,77,15045,205907,0,7833,183029,2022-12-01 10:39:32
乌干达,70,65672,169733,0,3630,100431,2022-12-01 10:39:32
贝宁,58,71,27980,0,163,27746,2022-12-01 10:39:32
肯尼亚,58,606,341636,0,5684,335346,2022-12-01 10:39:32
摩纳哥,50,132,15442,0,63,15247,2022-12-01 10:39:32
沙特阿拉伯,48,3001,825597,3,9464,813132,2022-12-01 10:39:32
伊朗,42,79895,7559706,0,144633,7335178,2022-12-01 10:39:32
巴基斯坦,39,5866,1575186,0,30631,1538689,2022-12-01 10:39:32
莫桑比克,34,88,230624,2,2226,228310,2022-12-01 10:39:32
老挝,33,208275,216693,0,758,7660,2022-12-01 10:39:32
马耳他,28,576,115818,0,809,114433,2022-12-01 10:39:32
赞比亚,25,37,333746,0,4019,329690,2022-12-01 10:39:32
